0,1,2,3,4,5
35,-28,-4.86527205,6.25401878,182,126445.156
35,32,5.20119476,7.29915953,345,172238.219
35,-25,-4.59724998,2.98621368,151,28828.7344
35,12,3.18506837,7.30660629,78,172589.844
35,-24,-4.50436687,2.14378953,315,14857.5811
35,26,4.68829393,2.67627835,288,23155.0859
35,-34,-5.361269,6.2231617,90,125200.484
35,12,3.18506837,6.68296909,183,144385.203
35,-24,-4.50436687,6.67506504,283,144043.875
35,40,5.81511259,6.81970787,171,150354.125
35,-25,-4.59724998,1.82775092,274,10799.8535
35,20,4.11190557,4.0216279,117,52286.2617
35,-24,-4.50436687,7.50467968,113,182074.078
35,33,5.28183842,6.18107653,86,123512.828
35,-17,-3.79098964,6.35744095,22,130661.758
35,16,3.67780018,2.53158545,0,20719.0098
35,-22,-4.312603,3.36009407,23,36499.4805
35,39,5.74196386,5.11727524,245,84656.7109
35,-39,-5.74196386,5.06616592,86,82974.1094
35,18,3.90089607,7.07504892,311,161823.906
35,-13,-3.31512427,2.36346579,67,18058.5312
36,13,3.31512427,5.77533627,192,102593.531
36,-25,-4.59724998,5.09889412,135,79968.2109
36,14,3.44026709,4.13244152,332,52526.5469
36,-25,-4.59724998,7.95550966,195,194671.078
36,13,3.31512427,2.25851345,190,15689.5596
36,-35,-5.43953991,5.85321331,323,105379.008
36,21,4.21344948,4.98617268,96,76471.5781
36,-22,-4.312603,6.6095109,353,134370.531
36,19,4.00779009,4.072999,294,51026.2891
36,-31,-5.11928129,2.91023064,60,26050.748
36,27,4.7776022,4.25591087,171,55712.2188
36,-36,-5.51670027,4.10513306,88,51834.6172
36,32,5.20119476,3.98033857,192,48731.0117
36,-35,-5.43953991,6.55574131,62,132193.172
36,30,5.03603554,3.34741855,121,34465.5664
